abort                             bell
accept-line                       vi-command/accept-single-line-or vi-command/forward-first-non-space
alias-expand-line                 -
arrow-key-prefix                  -
backward-byte                     -
backward-char                     vi-command/backward-char
backward-delete-char              -
backward-kill-line                -
backward-kill-word                -
backward-word                     -
beginning-of-history              -
beginning-of-line                 vi-command/beginning-of-line
bracketed-paste-begin             vi-command/bracketed-paste
call-last-kbd-macro               -
capitalize-word                   -
character-search                  -
character-search-backward         -
clear-screen                      clear-screen
complete                          -
complete-command                  -
complete-filename                 -
complete-hostname                 -
complete-into-braces              -
complete-username                 -
complete-variable                 -
copy-backward-word                -
copy-forward-word                 -
copy-region-as-kill               -
dabbrev-expand                    -
delete-char                       vi_nmap/kill-forward-char
delete-char-or-list               -
delete-horizontal-space           -
digit-argument                    -
display-shell-version             -
do-lowercase-version              -
downcase-word                     -
dump-functions                    -
dump-macros                       -
dump-variables                    -
dynamic-complete-history          -
edit-and-execute-command          -
emacs-editing-mode                -
end-kbd-macro                     -
end-of-history                    -
end-of-line                       vi-command/forward-eol
exchange-point-and-mark           -
forward-backward-delete-char      -
forward-byte                      -
forward-char                      vi-command/forward-char
forward-search-history            history-isearch-forward
forward-word                      -
glob-complete-word                -
glob-expand-word                  -
glob-list-expansions              -
history-and-alias-expand-line     -
history-expand-line               -
history-search-backward           -
history-search-forward            -
history-substring-search-backward -
history-substring-search-forward  -
insert-comment                    -
insert-completions                -
insert-last-argument              -
kill-line                         vi_nmap/kill-forward-line
kill-region                       -
kill-whole-line                   -
kill-word                         -
magic-space                       -
menu-complete                     -
menu-complete-backward            -
next-history                      history-next
next-screen-line                  -
non-incremental-forward-search-history        -
non-incremental-forward-search-history-again  -
non-incremental-reverse-search-history        -
non-incremental-reverse-search-history-again  -
old-menu-complete                 -
operate-and-get-next              -
overwrite-mode                    vi_nmap/replace-mode
possible-command-completions      complete show_menu:context=command
possible-completions              complete show_menu
possible-filename-completions     complete show_menu:context=filename
possible-hostname-completions     complete show_menu:context=hostname
possible-username-completions     complete show_menu:context=username
possible-variable-completions     complete show_menu:context=variable
previous-history                  history-prev
previous-screen-line              -
print-last-kbd-macro              -
quoted-insert                     -
re-read-init-file                 -
redraw-current-line               redraw-line
reverse-search-history            history-isearch-backward
revert-line                       vi_nmap/revert
self-insert                       -
set-mark                          -
shell-backward-kill-word          -
shell-backward-word               -
shell-expand-line                 -
shell-forward-word                -
shell-kill-word                   -
skip-csi-sequence                 -
start-kbd-macro                   -
tab-insert                        -
tilde-expand                      -
transpose-chars                   transpose-chars
transpose-words                   -
tty-status                        -
undo                              vi_nmap/undo
universal-argument                -
unix-filename-rubout              -
unix-line-discard                 -
unix-word-rubout                  -
upcase-word                       -
vi-append-eol                     vi_nmap/append-mode-at-end-of-line
vi-append-mode                    vi_nmap/append-mode
vi-arg-digit                      vi-command/append-arg
vi-prev-word                      vi-rlfunc/prev-word
vi-backward-word                  vi-command/backward-vword
vi-backward-bigword               vi-command/backward-uword
vi-bword                          vi-command/backward-vword
vi-bWord                          vi-command/backward-uword
vi-end-word                       vi-rlfunc/end-word
vi-end-bigword                    vi-command/forward-uword-end
vi-eword                          vi-command/forward-vword-end
vi-eWord                          vi-command/forward-uword-end
vi-next-word                      vi-rlfunc/next-word
vi-forward-word                   vi-command/forward-vword
vi-forward-bigword                vi-command/forward-uword
vi-fword                          vi-command/forward-vword
vi-fWord                          vi-command/forward-uword
vi-back-to-indent                 -
vi-change-case                    vi-command/operator toggle_case
vi-change-char                    vi_nmap/replace-char
vi-change-to                      vi-rlfunc/change-to
vi-char-search                    vi-rlfunc/char-search
vi-column                         vi-command/nth-column
vi-complete                       -
vi-delete                         vi_nmap/kill-forward-char
vi-delete-to                      vi-rlfunc/delete-to
vi-editing-mode                   -
vi-eof-maybe                      -
vi-fetch-history                  vi-command/history-end
vi-first-print                    vi-command/first-non-space
vi-goto-mark                      vi-command/goto-mark
vi-insert-beg                     vi_nmap/insert-mode-at-first-non-space
vi-insertion-mode                 vi_nmap/insert-mode
vi-match                          vi-command/search-matchpair-or vi-command/percentage-line
vi-movement-mode                  -
vi-overstrike                     -
vi-overstrike-delete              -
vi-put                            vi-rlfunc/put
vi-redo                           vi_nmap/repeat
vi-replace                        vi_nmap/replace-mode
vi-rubout                         vi_nmap/kill-backward-char
vi-search                         vi-rlfunc/search
vi-search-again                   vi-rlfunc/search-again
vi-set-mark                       vi-command/set-mark
vi-subst                          vi-rlfunc/subst
vi-tilde-expand                   -
vi-unix-word-rubout               -
vi-yank-arg                       -
vi-yank-pop                       -
vi-yank-to                        vi-rlfunc/yank-to
yank                              yank
yank-last-arg                     -
yank-nth-arg                      -
yank-pop                          -
